source_id,relpath,filename,extension,size_bytes,sha256,pages,text_chars,image_only_likely,review_method,reviewed_for_design,copyright_restriction,production_ready,clinical_claim_revalidation,human_runtime_default,source_group,domain,trust_tier,runtime_policy,allowed_uses,prohibited_uses,notes
SRC-012,약사 자료(외부로만 가지고나가지말기 __ㅇ)/[학회약]셀메드/KakaoTalk_20240703_091025266.jpg,KakaoTalk_20240703_091025266.jpg,jpg,53504,5ce3e6d31b2361f35ab02533c5d0b52dc0d2fb512089dd0f5f79b9b7b3ecf86a,,,,visual_contact_sheet_review,true,true,false,required,disabled_until_verified,cellmed_images,product_marketing,D,metadata_only,내부 제품명·진열·카테고리 메타데이터 후보,"임상 근거, 환자 상태 추정, 복합판매·매출 유도 문구",제품·판촉·POP 성격이 강해 임상 사실 소스로 사용하지 않는다.
SRC-013,약사 자료(외부로만 가지고나가지말기 __ㅇ)/[학회약]셀메드/KakaoTalk_20240703_091025266_01.jpg,KakaoTalk_20240703_091025266_01.jpg,jpg,135581,b37be20e205140670aba3828e6a314df3a01f2373d407d13d70b13fff84df5b8,,,,visual_contact_sheet_review,true,true,false,required,disabled_until_verified,cellmed_images,product_marketing,D,metadata_only,내부 제품명·진열·카테고리 메타데이터 후보,"임상 근거, 환자 상태 추정, 복합판매·매출 유도 문구",제품·판촉·POP 성격이 강해 임상 사실 소스로 사용하지 않는다.
SRC-014,약사 자료(외부로만 가지고나가지말기 __ㅇ)/[학회약]셀메드/KakaoTalk_20240703_091025266_02.jpg,KakaoTalk_20240703_091025266_02.jpg,jpg,136090,5a6c27e2c2101fbff37b9cea110b6a9dc6d303a6fefa4748ff3c7949fa9a0e57,,,,visual_contact_sheet_review,true,true,false,required,disabled_until_verified,cellmed_images,product_marketing,D,metadata_only,내부 제품명·진열·카테고리 메타데이터 후보,"임상 근거, 환자 상태 추정, 복합판매·매출 유도 문구",제품·판촉·POP 성격이 강해 임상 사실 소스로 사용하지 않는다.
SRC-015,약사 자료(외부로만 가지고나가지말기 __ㅇ)/[학회약]셀메드/KakaoTalk_20240703_091025266_03.jpg,KakaoTalk_20240703_091025266_03.jpg,jpg,98295,470dd8420c85503d595d982dbd00ae770b5ccc43546a6439fdc9887ccb5d498b,,,,visual_contact_sheet_review,true,true,false,required,disabled_until_verified,cellmed_images,product_marketing,D,metadata_only,내부 제품명·진열·카테고리 메타데이터 후보,"임상 근거, 환자 상태 추정, 복합판매·매출 유도 문구",제품·판촉·POP 성격이 강해 임상 사실 소스로 사용하지 않는다.
SRC-016,약사 자료(외부로만 가지고나가지말기 __ㅇ)/[학회약]셀메드/KakaoTalk_20240703_091025266_04.jpg,KakaoTalk_20240703_091025266_04.jpg,jpg,184296,326329f797ae8cd68aee46fb9b8b2c61d07a9353d16f8b624ab3f6b15d5a0588,,,,visual_contact_sheet_review,true,true,false,required,disabled_until_verified,cellmed_images,product_marketing,D,metadata_only,내부 제품명·진열·카테고리 메타데이터 후보,"임상 근거, 환자 상태 추정, 복합판매·매출 유도 문구",제품·판촉·POP 성격이 강해 임상 사실 소스로 사용하지 않는다.
SRC-017,약사 자료(외부로만 가지고나가지말기 __ㅇ)/[학회약]셀메드/KakaoTalk_20240703_091025266_05.jpg,KakaoTalk_20240703_091025266_05.jpg,jpg,124481,c3eab812bd53af15a803df9bed0f532c6b019dde0b491cf20b8c86d8c28d2d34,,,,visual_contact_sheet_review,true,true,false,required,disabled_until_verified,cellmed_images,product_marketing,D,metadata_only,내부 제품명·진열·카테고리 메타데이터 후보,"임상 근거, 환자 상태 추정, 복합판매·매출 유도 문구",제품·판촉·POP 성격이 강해 임상 사실 소스로 사용하지 않는다.
SRC-018,약사 자료(외부로만 가지고나가지말기 __ㅇ)/[학회약]셀메드/KakaoTalk_20240703_091025266_06.jpg,KakaoTalk_20240703_091025266_06.jpg,jpg,130109,f28eb79cae99a2e154507a09774eae1ec92312a46bd765ddcfeca76b52131fcc,,,,visual_contact_sheet_review,true,true,false,required,disabled_until_verified,cellmed_images,product_marketing,D,metadata_only,내부 제품명·진열·카테고리 메타데이터 후보,"임상 근거, 환자 상태 추정, 복합판매·매출 유도 문구",제품·판촉·POP 성격이 강해 임상 사실 소스로 사용하지 않는다.
SRC-019,약사 자료(외부로만 가지고나가지말기 __ㅇ)/[학회약]셀메드/KakaoTalk_20240703_091025266_07.jpg,KakaoTalk_20240703_091025266_07.jpg,jpg,184569,213023ed5d89e9b61a921628ecba9fa05a2a3d3f6655f94b712ac4e3f90e42f4,,,,visual_contact_sheet_review,true,true,false,required,disabled_until_verified,cellmed_images,product_marketing,D,metadata_only,내부 제품명·진열·카테고리 메타데이터 후보,"임상 근거, 환자 상태 추정, 복합판매·매출 유도 문구",제품·판촉·POP 성격이 강해 임상 사실 소스로 사용하지 않는다.
SRC-020,약사 자료(외부로만 가지고나가지말기 __ㅇ)/[학회약]셀메드/KakaoTalk_20240703_091025266_08.jpg,KakaoTalk_20240703_091025266_08.jpg,jpg,185951,9e5ae7e0a84b4038afc3bb89bc578a4023675280f231b4ace4ca4a9145343cdf,,,,visual_contact_sheet_review,true,true,false,required,disabled_until_verified,cellmed_images,product_marketing,D,metadata_only,내부 제품명·진열·카테고리 메타데이터 후보,"임상 근거, 환자 상태 추정, 복합판매·매출 유도 문구",제품·판촉·POP 성격이 강해 임상 사실 소스로 사용하지 않는다.
SRC-021,약사 자료(외부로만 가지고나가지말기 __ㅇ)/[학회약]셀메드/KakaoTalk_20240703_091025266_09.jpg,KakaoTalk_20240703_091025266_09.jpg,jpg,214341,50571b3ca1c22464d4cd6d43f704a7af2961a2ec9a64e28c32195d36956aa61c,,,,visual_contact_sheet_review,true,true,false,required,disabled_until_verified,cellmed_images,product_marketing,D,metadata_only,내부 제품명·진열·카테고리 메타데이터 후보,"임상 근거, 환자 상태 추정, 복합판매·매출 유도 문구",제품·판촉·POP 성격이 강해 임상 사실 소스로 사용하지 않는다.
SRC-022,약사 자료(외부로만 가지고나가지말기 __ㅇ)/[학회약]셀메드/KakaoTalk_20240703_091025266_10.jpg,KakaoTalk_20240703_091025266_10.jpg,jpg,243053,914a11b933f159749d8ae225d33df41b0942a401d5e997c1e09c0936ca337a14,,,,visual_contact_sheet_review,true,true,false,required,disabled_until_verified,cellmed_images,product_marketing,D,metadata_only,내부 제품명·진열·카테고리 메타데이터 후보,"임상 근거, 환자 상태 추정, 복합판매·매출 유도 문구",제품·판촉·POP 성격이 강해 임상 사실 소스로 사용하지 않는다.
SRC-023,약사 자료(외부로만 가지고나가지말기 __ㅇ)/[학회약]셀메드/KakaoTalk_20240703_091025266_11.jpg,KakaoTalk_20240703_091025266_11.jpg,jpg,210008,eb9108da3495c123e205e1dfe1e5d6ac11f1876bbce2a160a78483b179a57727,,,,visual_contact_sheet_review,true,true,false,required,disabled_until_verified,cellmed_images,product_marketing,D,metadata_only,내부 제품명·진열·카테고리 메타데이터 후보,"임상 근거, 환자 상태 추정, 복합판매·매출 유도 문구",제품·판촉·POP 성격이 강해 임상 사실 소스로 사용하지 않는다.
SRC-024,약사 자료(외부로만 가지고나가지말기 __ㅇ)/[학회약]셀메드/KakaoTalk_20240703_091025266_12.jpg,KakaoTalk_20240703_091025266_12.jpg,jpg,249916,5cd590b7ddeb3e1e5483c16a12d65fa5f8327889ed68a0c7d30e939ee0e7fd22,,,,visual_contact_sheet_review,true,true,false,required,disabled_until_verified,cellmed_images,product_marketing,D,metadata_only,내부 제품명·진열·카테고리 메타데이터 후보,"임상 근거, 환자 상태 추정, 복합판매·매출 유도 문구",제품·판촉·POP 성격이 강해 임상 사실 소스로 사용하지 않는다.
SRC-025,약사 자료(외부로만 가지고나가지말기 __ㅇ)/[학회약]셀메드/KakaoTalk_20240703_091025266_13.jpg,KakaoTalk_20240703_091025266_13.jpg,jpg,231674,88f6fee6a2774e2d1db5e042cc458d29c202e5eeec45214f10eaf83404c05826,,,,visual_contact_sheet_review,true,true,false,required,disabled_until_verified,cellmed_images,product_marketing,D,metadata_only,내부 제품명·진열·카테고리 메타데이터 후보,"임상 근거, 환자 상태 추정, 복합판매·매출 유도 문구",제품·판촉·POP 성격이 강해 임상 사실 소스로 사용하지 않는다.
SRC-026,약사 자료(외부로만 가지고나가지말기 __ㅇ)/[학회약]셀메드/KakaoTalk_20240703_091025266_14.jpg,KakaoTalk_20240703_091025266_14.jpg,jpg,125297,8f46d33e5993fc39916762e06ae1e4d838d9bf861bde38f5ca4b372baa913921,,,,visual_contact_sheet_review,true,true,false,required,disabled_until_verified,cellmed_images,product_marketing,D,metadata_only,내부 제품명·진열·카테고리 메타데이터 후보,"임상 근거, 환자 상태 추정, 복합판매·매출 유도 문구",제품·판촉·POP 성격이 강해 임상 사실 소스로 사용하지 않는다.
SRC-027,약사 자료(외부로만 가지고나가지말기 __ㅇ)/[학회약]셀메드/KakaoTalk_20240703_091025266_15.jpg,KakaoTalk_20240703_091025266_15.jpg,jpg,331113,377d7db252e477555b09efb3b52b834607da72e01191603a0df066f59f1aeb5c,,,,visual_contact_sheet_review,true,true,false,required,disabled_until_verified,cellmed_images,product_marketing,D,metadata_only,내부 제품명·진열·카테고리 메타데이터 후보,"임상 근거, 환자 상태 추정, 복합판매·매출 유도 문구",제품·판촉·POP 성격이 강해 임상 사실 소스로 사용하지 않는다.
SRC-028,약사 자료(외부로만 가지고나가지말기 __ㅇ)/[학회약]셀메드/KakaoTalk_20240703_091025266_16.jpg,KakaoTalk_20240703_091025266_16.jpg,jpg,131244,b31d31c79914d5f397e323080358493c5018ea1568c7e6ec151c37c081667b1d,,,,visual_contact_sheet_review,true,true,false,required,disabled_until_verified,cellmed_images,product_marketing,D,metadata_only,내부 제품명·진열·카테고리 메타데이터 후보,"임상 근거, 환자 상태 추정, 복합판매·매출 유도 문구",제품·판촉·POP 성격이 강해 임상 사실 소스로 사용하지 않는다.
SRC-029,약사 자료(외부로만 가지고나가지말기 __ㅇ)/[학회약]셀메드/KakaoTalk_20240703_091025266_17.jpg,KakaoTalk_20240703_091025266_17.jpg,jpg,261366,6ba94ed11ae3f932660fca4c102030a3c4cd1414dc8373b56b7dc7faa77b63fa,,,,visual_contact_sheet_review,true,true,false,required,disabled_until_verified,cellmed_images,product_marketing,D,metadata_only,내부 제품명·진열·카테고리 메타데이터 후보,"임상 근거, 환자 상태 추정, 복합판매·매출 유도 문구",제품·판촉·POP 성격이 강해 임상 사실 소스로 사용하지 않는다.
SRC-030,약사 자료(외부로만 가지고나가지말기 __ㅇ)/[학회약]셀메드/KakaoTalk_20240703_091025266_18.jpg,KakaoTalk_20240703_091025266_18.jpg,jpg,219366,7a8a6af2ad1660254fea5b3fff4e0c5668a4a07f67a9328a8fc7fbb36b0d577c,,,,visual_contact_sheet_review,true,true,false,required,disabled_until_verified,cellmed_images,product_marketing,D,metadata_only,내부 제품명·진열·카테고리 메타데이터 후보,"임상 근거, 환자 상태 추정, 복합판매·매출 유도 문구",제품·판촉·POP 성격이 강해 임상 사실 소스로 사용하지 않는다.
SRC-031,약사 자료(외부로만 가지고나가지말기 __ㅇ)/[학회약]셀메드/KakaoTalk_20240703_091025266_19.jpg,KakaoTalk_20240703_091025266_19.jpg,jpg,229693,11690178eb242d01150b4eea264f4f91d1d8fd1a057a698e6405285448e5247b,,,,visual_contact_sheet_review,true,true,false,required,disabled_until_verified,cellmed_images,product_marketing,D,metadata_only,내부 제품명·진열·카테고리 메타데이터 후보,"임상 근거, 환자 상태 추정, 복합판매·매출 유도 문구",제품·판촉·POP 성격이 강해 임상 사실 소스로 사용하지 않는다.
SRC-032,약사 자료(외부로만 가지고나가지말기 __ㅇ)/[학회약]셀메드/KakaoTalk_20240703_091025266_20.jpg,KakaoTalk_20240703_091025266_20.jpg,jpg,222957,598ecd9aa38984ea6a0da052e42be194aa9bac1fceaec794a61829f761ac4adc,,,,visual_contact_sheet_review,true,true,false,required,disabled_until_verified,cellmed_images,product_marketing,D,metadata_only,내부 제품명·진열·카테고리 메타데이터 후보,"임상 근거, 환자 상태 추정, 복합판매·매출 유도 문구",제품·판촉·POP 성격이 강해 임상 사실 소스로 사용하지 않는다.
SRC-033,약사 자료(외부로만 가지고나가지말기 __ㅇ)/[학회약]셀메드/KakaoTalk_20240703_091025266_21.jpg,KakaoTalk_20240703_091025266_21.jpg,jpg,237485,47ede00b1e0a4b36d22418bab323dbf623eacc8e89f2c6dcff543d9454d3dca9,,,,visual_contact_sheet_review,true,true,false,required,disabled_until_verified,cellmed_images,product_marketing,D,metadata_only,내부 제품명·진열·카테고리 메타데이터 후보,"임상 근거, 환자 상태 추정, 복합판매·매출 유도 문구",제품·판촉·POP 성격이 강해 임상 사실 소스로 사용하지 않는다.
SRC-034,약사 자료(외부로만 가지고나가지말기 __ㅇ)/[학회약]셀메드/KakaoTalk_20240703_091025266_22.jpg,KakaoTalk_20240703_091025266_22.jpg,jpg,219875,9afcecf1cb6de5d7e27c535386f5510afbabb3b2ab422ebb6d336579d44377bd,,,,visual_contact_sheet_review,true,true,false,required,disabled_until_verified,cellmed_images,product_marketing,D,metadata_only,내부 제품명·진열·카테고리 메타데이터 후보,"임상 근거, 환자 상태 추정, 복합판매·매출 유도 문구",제품·판촉·POP 성격이 강해 임상 사실 소스로 사용하지 않는다.
SRC-035,약사 자료(외부로만 가지고나가지말기 __ㅇ)/[학회약]셀메드/KakaoTalk_20240703_091025266_23.jpg,KakaoTalk_20240703_091025266_23.jpg,jpg,211198,6f2f289f436071f2279df94b065bf8156324380046ac6b7ce18f9df4cab2420e,,,,visual_contact_sheet_review,true,true,false,required,disabled_until_verified,cellmed_images,product_marketing,D,metadata_only,내부 제품명·진열·카테고리 메타데이터 후보,"임상 근거, 환자 상태 추정, 복합판매·매출 유도 문구",제품·판촉·POP 성격이 강해 임상 사실 소스로 사용하지 않는다.
SRC-036,약사 자료(외부로만 가지고나가지말기 __ㅇ)/[학회약]셀메드/KakaoTalk_20240703_091025266_24.jpg,KakaoTalk_20240703_091025266_24.jpg,jpg,246112,96860407963ee60b8386abcde952bb0081452f8fc3e0ac32b53531fc3892d750,,,,visual_contact_sheet_review,true,true,false,required,disabled_until_verified,cellmed_images,product_marketing,D,metadata_only,내부 제품명·진열·카테고리 메타데이터 후보,"임상 근거, 환자 상태 추정, 복합판매·매출 유도 문구",제품·판촉·POP 성격이 강해 임상 사실 소스로 사용하지 않는다.
SRC-037,약사 자료(외부로만 가지고나가지말기 __ㅇ)/[학회약]셀메드/KakaoTalk_20240703_091025266_25.jpg,KakaoTalk_20240703_091025266_25.jpg,jpg,158992,b39f19a3e23a4073aa5de8baa0e54809a4ef4588dc90c9b020dde00718c18cb9,,,,visual_contact_sheet_review,true,true,false,required,disabled_until_verified,cellmed_images,product_marketing,D,metadata_only,내부 제품명·진열·카테고리 메타데이터 후보,"임상 근거, 환자 상태 추정, 복합판매·매출 유도 문구",제품·판촉·POP 성격이 강해 임상 사실 소스로 사용하지 않는다.
SRC-038,약사 자료(외부로만 가지고나가지말기 __ㅇ)/[학회약]셀메드/KakaoTalk_20240703_091025266_26.jpg,KakaoTalk_20240703_091025266_26.jpg,jpg,328844,c755f940123392f94d1809947c91324057989b11b18baecfaaca7b1cd80c43fe,,,,visual_contact_sheet_review,true,true,false,required,disabled_until_verified,cellmed_images,product_marketing,D,metadata_only,내부 제품명·진열·카테고리 메타데이터 후보,"임상 근거, 환자 상태 추정, 복합판매·매출 유도 문구",제품·판촉·POP 성격이 강해 임상 사실 소스로 사용하지 않는다.
SRC-039,약사 자료(외부로만 가지고나가지말기 __ㅇ)/[학회약]셀메드/KakaoTalk_20240703_091025266_27.jpg,KakaoTalk_20240703_091025266_27.jpg,jpg,333250,694914ab83b3d7a3858b025d37fcd7d479524ce3199fc54c0e0f5c07c2eea0b6,,,,visual_contact_sheet_review,true,true,false,required,disabled_until_verified,cellmed_images,product_marketing,D,metadata_only,내부 제품명·진열·카테고리 메타데이터 후보,"임상 근거, 환자 상태 추정, 복합판매·매출 유도 문구",제품·판촉·POP 성격이 강해 임상 사실 소스로 사용하지 않는다.
SRC-040,약사 자료(외부로만 가지고나가지말기 __ㅇ)/[학회약]셀메드/KakaoTalk_20240703_091025266_28.jpg,KakaoTalk_20240703_091025266_28.jpg,jpg,305817,21dcc93b0c4a40790209e9a70e3111b0bbffd35a5f2d384e96ce4fc23503be8f,,,,visual_contact_sheet_review,true,true,false,required,disabled_until_verified,cellmed_images,product_marketing,D,metadata_only,내부 제품명·진열·카테고리 메타데이터 후보,"임상 근거, 환자 상태 추정, 복합판매·매출 유도 문구",제품·판촉·POP 성격이 강해 임상 사실 소스로 사용하지 않는다.
SRC-041,약사 자료(외부로만 가지고나가지말기 __ㅇ)/[학회약]셀메드/KakaoTalk_20240703_091055256.jpg,KakaoTalk_20240703_091055256.jpg,jpg,93156,3bb32d594aab7b1282c6e954f829b814940226f717668619404973d0b37c8874,,,,visual_contact_sheet_review,true,true,false,required,disabled_until_verified,cellmed_images,product_marketing,D,metadata_only,내부 제품명·진열·카테고리 메타데이터 후보,"임상 근거, 환자 상태 추정, 복합판매·매출 유도 문구",제품·판촉·POP 성격이 강해 임상 사실 소스로 사용하지 않는다.
SRC-042,약사 자료(외부로만 가지고나가지말기 __ㅇ)/[학회약]셀메드/KakaoTalk_20240703_091055256_01.jpg,KakaoTalk_20240703_091055256_01.jpg,jpg,456908,83d767d25216075f8e791d33e093d5b3a1a382ea74227bfe682d8939a7fca1e2,,,,visual_contact_sheet_review,true,true,false,required,disabled_until_verified,cellmed_images,product_marketing,D,metadata_only,내부 제품명·진열·카테고리 메타데이터 후보,"임상 근거, 환자 상태 추정, 복합판매·매출 유도 문구",제품·판촉·POP 성격이 강해 임상 사실 소스로 사용하지 않는다.
SRC-043,약사 자료(외부로만 가지고나가지말기 __ㅇ)/[학회약]셀메드/KakaoTalk_20240703_091055256_02.jpg,KakaoTalk_20240703_091055256_02.jpg,jpg,147783,9beea6f0f2a25020573e9e0ab3640c0ba58aa5d64ad2acea4614a39ec3d816ba,,,,visual_contact_sheet_review,true,true,false,required,disabled_until_verified,cellmed_images,product_marketing,D,metadata_only,내부 제품명·진열·카테고리 메타데이터 후보,"임상 근거, 환자 상태 추정, 복합판매·매출 유도 문구",제품·판촉·POP 성격이 강해 임상 사실 소스로 사용하지 않는다.
SRC-044,약사 자료(외부로만 가지고나가지말기 __ㅇ)/[학회약]셀메드/KakaoTalk_20240703_091055256_03.jpg,KakaoTalk_20240703_091055256_03.jpg,jpg,149297,3eabed3a01b4bdddcb4879e0de95a3adc8884a0298f7a2689ec2d88a72559777,,,,visual_contact_sheet_review,true,true,false,required,disabled_until_verified,cellmed_images,product_marketing,D,metadata_only,내부 제품명·진열·카테고리 메타데이터 후보,"임상 근거, 환자 상태 추정, 복합판매·매출 유도 문구",제품·판촉·POP 성격이 강해 임상 사실 소스로 사용하지 않는다.
SRC-045,약사 자료(외부로만 가지고나가지말기 __ㅇ)/[학회약]셀메드/KakaoTalk_20240703_091055256_04.jpg,KakaoTalk_20240703_091055256_04.jpg,jpg,353920,e0d6a2473a2c7b97203866617d4de7f38536dc5cc33734e3313eb6b3ba4e7e66,,,,visual_contact_sheet_review,true,true,false,required,disabled_until_verified,cellmed_images,product_marketing,D,metadata_only,내부 제품명·진열·카테고리 메타데이터 후보,"임상 근거, 환자 상태 추정, 복합판매·매출 유도 문구",제품·판촉·POP 성격이 강해 임상 사실 소스로 사용하지 않는다.
SRC-046,약사 자료(외부로만 가지고나가지말기 __ㅇ)/[학회약]셀메드/KakaoTalk_20240703_091055256_05.jpg,KakaoTalk_20240703_091055256_05.jpg,jpg,421299,411b5fe1b12a8134097c62785602e6eaa1eb33bc55c53bd2764aa5508c98ed8b,,,,visual_contact_sheet_review,true,true,false,required,disabled_until_verified,cellmed_images,product_marketing,D,metadata_only,내부 제품명·진열·카테고리 메타데이터 후보,"임상 근거, 환자 상태 추정, 복합판매·매출 유도 문구",제품·판촉·POP 성격이 강해 임상 사실 소스로 사용하지 않는다.
SRC-047,약사 자료(외부로만 가지고나가지말기 __ㅇ)/[학회약]셀메드/KakaoTalk_20240703_091055256_06.jpg,KakaoTalk_20240703_091055256_06.jpg,jpg,335555,9063f1d203fd24036e3394a6add97c8a86be53d276efeb492f5ea26babcd3c51,,,,visual_contact_sheet_review,true,true,false,required,disabled_until_verified,cellmed_images,product_marketing,D,metadata_only,내부 제품명·진열·카테고리 메타데이터 후보,"임상 근거, 환자 상태 추정, 복합판매·매출 유도 문구",제품·판촉·POP 성격이 강해 임상 사실 소스로 사용하지 않는다.
SRC-048,약사 자료(외부로만 가지고나가지말기 __ㅇ)/[학회약]셀메드/KakaoTalk_20240703_091055256_07.jpg,KakaoTalk_20240703_091055256_07.jpg,jpg,355891,da721821d8ed91c304b375a8a8747d0b9d1f184e38b2573c18fe52647fabd4e1,,,,visual_contact_sheet_review,true,true,false,required,disabled_until_verified,cellmed_images,product_marketing,D,metadata_only,내부 제품명·진열·카테고리 메타데이터 후보,"임상 근거, 환자 상태 추정, 복합판매·매출 유도 문구",제품·판촉·POP 성격이 강해 임상 사실 소스로 사용하지 않는다.
